"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20210601","3호선","신사","28955","30583","20210604",""
"20210601","3호선","잠원","4780","4656","20210604",""
"20210601","3호선","고속터미널","33986","32532","20210604",""
"20210601","3호선","교대(법원.검찰청)","14136","9362","20210604",""
"20210601","3호선","남부터미널(예술의전당)","27604","28821","20210604",""
"20210601","3호선","매봉","12623","12103","20210604",""
"20210601","5호선","까치산","28819","27750","20210604",""
"20210601","5호선","신정(은행정)","14228","11261","20210604",""
"20210601","5호선","목동","16770","18584","20210604",""
"20210601","5호선","오목교(목동운동장앞)","21361","23178","20210604",""
"20210601","5호선","양평","7621","7626","20210604",""
"20210601","5호선","영등포구청","4035","4095","20210604",""
"20210601","5호선","영등포시장","9352","9676","20210604",""
"20210601","5호선","신길","4077","4396","20210604",""
"20210601","5호선","여의도","28275","30193","20210604",""
"20210601","5호선","여의나루","10113","11151","20210604",""
"20210601","5호선","마포","14638","14934","20210604",""
"20210601","5호선","공덕","14651","15641","20210604",""
"20210601","5호선","애오개","7091","7017","20210604",""
"20210601","5호선","충정로(경기대입구)","5101","5247","20210604",""
"20210601","5호선","서대문","19096","19811","20210604",""
"20210601","5호선","광화문(세종문화회관)","28312","29905","20210604",""
"20210601","5호선","종로3가","11488","11226","20210604",""
"20210601","5호선","을지로4가","6199","6433","20210604",""
"20210601","5호선","동대문역사문화공원(DDP)","2861","3416","20210604",""
"20210601","5호선","청구","4083","3639","20210604",""
"20210601","5호선","신금호","6538","6769","20210604",""
"20210601","5호선","행당","8376","7350","20210604",""
"20210601","5호선","왕십리(성동구청)","4409","4826","20210604",""
"20210601","5호선","마장","5500","5250","20210604",""
"20210601","5호선","답십리","15935","14437","20210604",""
"20210601","5호선","장한평","18526","18493","20210604",""
"20210601","5호선","군자(능동)","11056","12072","20210604",""
"20210601","5호선","아차산(어린이대공원후문)","14289","13870","20210604",""
"20210601","5호선","광나루(장신대)","12990","11948","20210604",""
"20210601","5호선","천호(풍납토성)","17012","16856","20210604",""
"20210601","2호선","강남","79921","78691","20210604",""
"20210601","2호선","교대(법원.검찰청)","33937","37951","20210604",""
"20210601","2호선","서초","21938","21846","20210604",""
"20210601","2호선","방배","17702","18478","20210604",""
"20210601","2호선","사당","34614","37869","20210604",""
"20210601","2호선","낙성대(강감찬)","26582","26013","20210604",""
"20210601","2호선","서울대입구(관악구청)","45689","44979","20210604",""
"20210601","2호선","봉천","24348","22539","20210604",""
"20210601","2호선","신림","61491","59987","20210604",""
"20210601","5호선","강동","18612","17815","20210604",""
"20210601","5호선","굽은다리(강동구민회관앞)","9525","9133","20210604",""
"20210601","5호선","명일","8548","8882","20210604",""
"20210601","5호선","고덕","9278","9146","20210604",""
"20210601","5호선","상일동","15885","14277","20210604",""
"20210601","5호선","둔촌동","8589","8623","20210604",""
"20210601","5호선","올림픽공원(한국체대)","4427","3820","20210604",""
"20210601","5호선","방이","6811","7012","20210604",""
"20210601","5호선","오금","3992","3864","20210604",""
"20210601","5호선","개롱","6634","6788","20210604",""
"20210601","5호선","거여","8649","8448","20210604",""
"20210601","5호선","마천","6381","6321","20210604",""
"20210601","5호선","강일","3156","3357","20210604",""
"20210601","5호선","미사","14867","14469","20210604",""
"20210601","5호선","하남풍산","3952","3985","20210604",""
"20210601","5호선","하남시청(덕풍·신장)","4956","5005","20210604",""
"20210601","5호선","하남검단산","4565","4492","20210604",""
"20210601","6호선","응암","17836","17452","20210604",""
"20210601","중앙선","덕소","5686","5525","20210604",""
"20210601","중앙선","도심","2491","1963","20210604",""
"20210601","중앙선","팔당","825","856","20210604",""
"20210601","중앙선","운길산","959","916","20210604",""
"20210601","중앙선","양수","1888","1930","20210604",""
"20210601","중앙선","신원","218","185","20210604",""
"20210601","중앙선","국수","725","727","20210604",""
"20210601","중앙선","아신","519","516","20210604",""
"20210601","중앙선","오빈","289","266","20210604",""
"20210601","중앙선","양평","2476","2525","20210604",""
"20210601","중앙선","원덕","344","320","20210604",""
"20210601","중앙선","용문","1652","1641","20210604",""
"20210601","중앙선","지평","67","99","20210604",""
"20210601","6호선","역촌","3783","4382","20210604",""
"20210601","6호선","불광","4294","4195","20210604",""
