자치구 기준일,종로구 전체,종로구 추가,중구 전체,중구 추가,용산구 전체,용산구 추가,성동구 전체,성동구 추가,광진구 전체,광진구 추가,동대문구 전체,동대문구 추가,중랑구 전체,중랑구 추가,성북구 전체,성북구 추가,강북구 전체,강북구 추가,도봉구 전체,도봉구 추가,노원구 전체,노원구 추가,은평구 전체,은평구 추가,서대문구 전체,서대문구 추가,마포구 전체,마포구 추가,양천구 전체,양천구 추가,강서구 전체,강서구 추가,구로구 전체,구로구 추가,금천구 전체,금천구 추가,영등포구 전체,영등포구 추가,동작구 전체,동작구 추가,관악구 전체,관악구 추가,서초구 전체,서추구 추가,강남구 전체,강남구 추가,송파구 전체,송파구 추가,강동구 전체,강동구 추가,기타 전체,기타 추가,수집일
2021.07.27.00,997,2,908,5,1832,13,1872,13,2065,8,2152,7,2516,12,2489,13,1726,5,1839,10,2755,7,2589,19,1578,11,2214,18,2046,10,2896,21,2110,11,1087,15,2424,16,2636,30,3194,31,2853,8,4354,19,3704,18,2438,16,5034,13,11:40.0
2021.07.26.00,995,4,906,7,1819,7,1861,14,2057,12,2145,8,2504,6,2476,11,1721,12,1829,3,2748,11,2570,13,1567,11,2196,12,2036,9,2875,18,2099,21,1072,11,2408,22,2606,15,3163,30,2845,13,4336,24,3685,13,2421,20,5017,14,11:40.0
2021.07.25.00,991,10,899,7,1812,12,1847,6,2045,14,2137,7,2498,18,2466,17,1709,12,1825,8,2737,11,2558,23,1557,19,2185,32,2027,3,2857,16,2077,27,1061,10,2386,27,2590,33,3133,52,2832,26,4311,32,3672,22,2401,22,5003,23,11:40.0
2021.07.24.00,981,4,892,9,1800,15,1841,16,2031,18,2129,8,2481,25,2449,8,1697,17,1817,13,2726,12,2535,14,1538,20,2154,21,2028,12,2838,8,2050,20,1051,13,2358,13,2557,30,3082,40,2805,21,4278,32,3651,34,2379,18,4980,24,11:40.0
2021.07.23.00,976,7,885,11,1785,19,1825,17,2013,19,2120,12,2456,18,2441,16,1680,15,1804,6,2714,13,2522,26,1518,17,2133,24,2016,9,2830,28,2030,26,1038,16,2346,18,2526,30,3042,32,2784,32,4246,39,3617,24,2361,25,4955,21,11:40.0
2021.07.22.00,969,11,874,6,1766,15,1808,22,1994,9,2108,18,2438,14,2425,7,1665,10,1798,18,2701,22,2496,19,1501,10,2109,15,2007,11,2802,17,2004,21,1022,11,2328,15,2496,26,3010,60,2752,28,4207,34,3593,27,2336,27,4934,26,11:40.0
2021.07.21.00,958,10,871,6,1752,27,1786,17,1985,23,2090,10,2424,14,2418,27,1655,11,1780,14,2679,20,2476,30,1491,30,2094,27,1997,22,2784,19,1983,27,1011,13,2312,23,2470,43,2950,61,2723,33,4173,37,3567,26,2308,15,4907,19,11:40.0
2021.07.20.00,948,5,867,5,1725,9,1769,11,1962,15,2082,6,2410,13,2391,21,1644,6,1766,13,2659,15,2446,16,1461,7,2067,15,1975,15,2765,8,1956,23,998,6,2289,26,2427,28,2889,32,2690,27,4136,35,3541,14,2293,10,4884,13,11:40.0
2021.07.19.00,943,8,862,7,1716,13,1759,12,1947,8,2077,13,2397,17,2370,19,1638,8,1753,13,2644,16,2430,14,1455,8,2052,24,1960,5,2757,17,1934,19,991,7,2262,27,2399,20,2855,32,2664,24,4101,32,3527,22,2283,23,4870,11,11:40.0
2021.07.18.00,934,6,855,10,1703,19,1746,12,1939,18,2066,14,2380,15,2351,18,1629,15,1740,10,2628,26,2415,17,1447,14,2028,20,1955,8,2740,12,1915,25,984,17,2237,17,2379,29,2824,56,2640,34,4070,31,3505,37,2260,11,4857,32,11:40.0
